modelId,createdAt
marroyo777/flan-t5-base-Q4_K_M-GGUF,2024-10-26 03:47:43
meta-llama/Llama-2-7b-chat-hf,2023-07-13 16:45:23
meta-llama/Llama-2-7b-hf,2023-07-13 16:16:13
meta-llama/Llama-3.1-8B,2024-07-14 22:20:15
meta-llama/Llama-3.1-8B-Instruct,2024-07-18 08:56:00
meta-llama/Llama-3.2-1B,2024-09-18 15:03:14
meta-llama/Meta-Llama-3-8B,2024-04-17 09:35:16
meta-llama/Meta-Llama-3-8B-Instruct,2024-04-17 09:35:12
mistral-community/Mistral-7B-v0.2,2024-03-23 22:27:12
mistralai/Mistral-7B-Instruct-v0.2,2023-12-11 13:18:44
mistralai/Mistral-7B-v0.1,2023-09-20 13:03:50
monsterapi/gpt2_alpaca-lora,2023-05-06 05:59:05
monsterapi/opt125M_alpaca,2023-05-13 05:38:51
mradermacher/AtmaLLaMA-GGUF,2025-02-25 19:07:30
mssongit/Qwen2.5-14B-SFT-LoRA-6e-5,2024-11-13 00:01:00
nvidia/llama-3.1-nemoguard-8b-content-safety,2025-01-15 23:54:58
openai-community/gpt2,2022-03-02 23:29:04
Open-Bee/Bee-8B-RL,2025-10-10 12:57:20
phanerozoic/Tiny-Pirate-1.1b-v0.1,2024-01-04 14:29:38
podsni/hades-1B,2025-10-28 01:54:58
postbot/distilgpt2-emailgen,2022-08-06 13:40:55
prithivMLmods/Bee-8B-RL-abliterated,2025-10-21 03:55:16
pszemraj/opt-125m-email-generation,2022-07-10 01:24:47
Qwen/Qwen2-7B,2024-06-04 13:35:27
Qwen/Qwen2-7B-Instruct,2024-06-04 10:07:03
Qwen/Qwen2-7B-Instruct-GGUF,2024-06-06 13:18:05
Qwen/Qwen2-7B-Instruct-GPTQ-Int4,2024-06-06 06:18:03
Qwen/Qwen2.5-14B,2024-09-15 12:18:18
Qwen/Qwen2.5-14B-Instruct,2024-09-16 11:56:10
Qwen/Qwen2.5-14B-Instruct-GPTQ-Int4,2024-09-17 12:52:26
Qwen/Qwen3-8B,2025-04-27 03:42:21
Qwen/Qwen3-8B-GGUF,2025-05-03 06:33:59
RakshitAi/AtmaLLaMA,2024-12-29 10:04:56
ResplendentAI/Qwen_jeiku_LoRA_128,2024-06-12 22:21:07
ResplendentAI/Qwen_Sissification_LoRA_128,2024-06-13 23:27:16
ResplendentAI/Qwen_Soul_LoRA_128,2024-06-13 23:27:52
s3nh/TinyLLama-4x1.1B-MoE,2024-01-10 09:22:44
segolilylabs/Lily-Cybersecurity-7B-v0.2,2024-01-11 22:46:37
smgriffin/pop-lyrics-generator-v1,2024-12-06 18:30:20
svjack/Qwen2-7B_Function_Call_tiny_lora,2024-06-17 14:35:41
tahamajs/LLaMA-3-2-LoRA-EmotionTune-Full,2025-03-22 00:20:44
TECHNOPRAVIN01/Qwen2.5-14B-Valor,2025-10-17 10:58:48
Tensoic/TinyLlama-1.1B-3T-openhermes,2023-12-29 12:49:29
TheBloke/Llama-2-7B-Chat-GPTQ,2023-07-18 17:38:15
TheBloke/Mistral-7B-Instruct-v0.2-GGUF,2023-12-11 22:18:46
TheBloke/Mistral-7B-Instruct-v0.2-GPTQ,2023-12-11 22:18:46
TheBloke/TinyLlama-1.1B-Chat-v1.0-GGUF,2023-12-31 20:53:43
TheBloke/TinyLlama-1.1B-Chat-v1.0-GPTQ,2023-12-31 21:29:27
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2023-12-30 06:27:30
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,2023-12-28 14:08:29
unsloth/gemma-3-1b-it-GGUF,2025-03-12 10:57:04
v000000/Qwen2.5-Lumen-14B,2024-09-20 13:13:16
vanta-research/apollo-astralis-8b,2025-10-05 08:00:07
WizardLMTeam/WizardMath-7B-V1.1,2023-12-19 08:09:17
ysn-rfd/distilgpt2-Q8_0-GGUF,2024-08-11 05:31:35
Qwen/Qwen2.5-1.5B,2024-09-15 12:16:50
Gensyn/Qwen2.5-1.5B-Instruct,2025-04-04 02:16:15
Qwen/Qwen2.5-1.5B-Instruct,2024-09-17 14:10:29
marianoiry/gensyn-checkpoints-sturdy_twitchy_jay,2025-04-19 00:44:29
tgtgeo/gensyn-checkpoints-jumping_gentle_ant,2025-04-16 00:24:56
jeergrvgreg/uplifting-filter-v5,2025-11-30 18:07:54
Irfanuruchi/qwen2.5-1.5b-dsp-finetuned,2025-12-08 15:22:53
Qwen/Qwen2.5-Coder-1.5B,2024-09-18 09:41:38
Pista1981/Child-0a24ec-python-0a24ec-015022,2025-12-28 01:55:08
lakhera2023/Qwen-model,2025-09-10 17:17:48
Qwen/Qwen2.5-Coder-1.5B-Instruct,2024-09-18 09:41:47
huihui-ai/Qwen2.5-Coder-1.5B-Instruct-abliterated,2024-10-01 18:08:35
mradermacher/Qwen2.5-Coder-1.5B-Instruct-abliterated-GGUF,2024-10-02 00:27:29
QuantFactory/Qwen2.5-Coder-1.5B-Instruct-GGUF,2024-09-19 03:34:07
Marsouuu/MiniQwenMathExpert-ECE-PRYMMAL-Martial,2024-10-07 10:02:18
LilRg/ECE-1B-merge-PRYMMAL,2024-10-07 13:27:23
unsloth/Qwen2.5-1.5B-bnb-4bit,2024-09-18 22:28:59
Qwen/Qwen2.5-0.5B,2024-09-15 12:15:39
Gensyn/Qwen2.5-0.5B-Instruct,2025-03-28 21:57:22
Qwen/Qwen2.5-0.5B-Instruct,2024-09-16 11:52:46
vanshs613/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-soaring_dappled_hippo,2025-04-04 21:42:12
eiknarf/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-rapid_stocky_stork,2025-05-03 10:04:45
featherless-ai-quants/Gensyn-Qwen2.5-0.5B-Instruct-GGUF,2025-06-30 20:45:55
straino/Qwen2.5-0.5B-Instruct-Q4_K_M-GGUF,2025-09-08 11:13:01
RaykieLee/task-17-Qwen-Qwen2.5-0.5B,2024-12-10 02:38:00
trumancai/Revela-500M,2025-04-13 13:15:07
wulli/Qwen2.5-0.5B-sft-capybara,2025-11-09 23:45:18
dphn/Dolphin3.0-Qwen2.5-0.5B,2024-12-29 21:03:28
mergekit-community/mergekit-slerp-lxmmvuv,2024-12-23 15:08:44
DevQuasar/Qwen2.5-0.5B-GGUF,2024-09-19 03:38:22
mradermacher/Qwen2.5-0.5B-i1-GGUF,2024-11-08 13:09:03
Emmet-Allen/christAIn-uncensored,2025-08-28 17:23:18
mradermacher/Dolphin3.0-Qwen2.5-0.5B-GGUF,2025-01-06 04:55:00
Falconsai/nsfw_image_detection,2023-10-13 23:50:01
hanad/self_harm_detection,2024-07-24 05:48:17
victorwkey/vit-food101,2025-01-03 17:52:36
openai/whisper-large-v3,2023-11-07 18:41:14
Oufei123/openai-whisper-large-v3-LORA-colab,2023-11-21 06:47:48
AbdelrahmanHassan/whisper-large-v3-egyptian-arabic,2025-08-04 10:30:52
firdhokk/speech-emotion-recognition-with-openai-whisper-large-v3,2024-09-21 12:01:48
Byne/whisper-large-v3-arabic,2025-04-15 10:41:12
nyrahealth/CrisperWhisper,2024-08-29 15:53:10
nm-testing/whisper-large-v3.w4a16,2025-02-14 19:40:37
miosipov/asr2_medium_CRSPR_v0.5,2025-02-14 01:00:43
Qwen/Qwen2-VL-2B,2024-09-05 07:14:45
Qwen/Qwen2-VL-2B-Instruct,2024-08-28 09:02:15
lightonai/MonoQwen2-VL-v0.1,2024-10-25 13:23:13
jinaai/jina-reranker-m0,2025-03-27 11:08:51
unsloth/Qwen2-VL-2B-Instruct-unsloth-bnb-4bit,2024-11-29 10:25:50
osunlp/UGround-V1-2B,2025-01-03 15:54:50
arcee-ai/Virtuoso-Small,2024-12-01 22:27:15
AtlaAI/Selene-1-Mini-Llama-3.1-8B,2025-01-22 09:19:44
AtlaAI/Selene-1-Mini-Llama-3.1-8B-GPTQ-W8A8,2025-02-14 14:48:08
amit2-0kr/food-disease-chatbot-recommender-v1,2025-10-04 07:57:43
