is_reported,is_replied,Model ID,base_model,relationship,Downloads
1,,dnrso/koBART_Sum_Review_finetuning,gogamza/kobart-summarization,finetune,851
1,,dongguanting/Tool-Star-Qwen-1.5B,Qwen/Qwen2.5-1.5B-Instruct,finetune,193
1,,Dracones/Midnight-Miqu-103B-v1.0_exl2_3.5bpw,sophosympatheia/Midnight-Miqu-103B-v1.0,quantize,159
1,,DrNicefellow/ChatAllInOne-Yi-34B-200K-V1-4.65bpw-exl2,01-ai/Yi-34B-200K,finetune,226
1,,duyntnet/Mistral-Small-24B-Instruct-2501-imatrix-GGUF,mistralai/Mistral-Small-24B-Instruct-2501,finetune,2335
1,,e22vvb/EN_t5-base_15_spider_nosch_baseline,google-t5/t5-base,finetune,213
1,,Efficient-Large-Model/Llama-3-VILA1.5-8B,meta-llama/Meta-Llama-3-8B,finetune,384643
0,,EleutherAI/pythia-1.4b,/,/,2294548
1,,elysiantech/phi-3-mini-4k-instruct-awq-4bit,microsoft/Phi-3-mini-4k-instruct,quantize,323
1,,elyza/Llama-3-ELYZA-JP-8B,meta-llama/Meta-Llama-3-8B-Instruct,finetune,997800
1,,Epiculous/Violet_Twilight-v0.2-GGUF,Epiculous/Azure_Dusk-v0.2,merge,1198600
1,,Erland/gemma-2b-JAX,google/gemma-2b,finetune,135
1,1,EscVM/gpt2-alpaca-single-gpu-train,openai-community/gpt2,finetune,219
1,,ethz-spylab/poisoned_generation_trojan2,meta-llama/Llama-2-7b,finetune,5159
1,1,eunyounglee/pegasus-samsum,google/pegasus-cnn_dailymail,finetune,216
0,,Eurdem/Defne_llama3_2x8B,/,/,99462
0,,facebook/mbart-large-50,/,/,13355168
0,,facebook/opt-125m,/,/,131760989
0,,fbaldassarri/mistralai_Mistral-7B-Instruct-v0.3-autogptq-int4-gs128-sym,/,/,214
1,,finvix/ip_01,unsloth/qwen2.5-0.5b-instruct-unsloth-bnb-4bit,finetune,238
1,1,FluffyKaeloky/Midnight-Miqu-103B-v1.5-exl2-3.0bpw-rpcal,FluffyKaeloky/Midnight-Miqu-103B-v1.5,quantize,175
1,,FPHam/Sydney_Overthinker_13b_HF,FPHam/Free_Sydney_13b_HF,finetune,36172
1,,FreedomIntelligence/AceGPT-v2-70B,meta-llama/Meta-Llama-3-70B,finetune,1619
1,,FreedomIntelligence/HuatuoGPT-Vision-7B,Qwen/Qwen2-7B,finetune,391828
0,,GAIR/rst-summarization-11b,/,/,384
1,,GeneZC/MiniMix-2_4x3B,meta-llama/Llama-2-7b,merge,534
1,1,Gille/StrangeMerges_56-7B-model_stock,snorkelai/Snorkel-Mistral-PairRM-DPO,merge,216
0,,godUIT/DeepSeek-R1-Medical-COT,/,/,232
1,,goldfish-models/hil_latn_10mb,openai-community/gpt2,finetune,314
0,,goldfish-models/msa_latn_5mb,/,/,332
0,,goldfish-models/zho_hans_10mb,/,/,385
0,,google/flan-t5-base,/,/,53318157
1,,google/gemma-1.1-2b-it,google/gemma-2b,finetune,2319763
0,,google/long-t5-tglobal-large,/,/,387728
0,,google/t5-efficient-base-dl2,/,/,1551
1,,gradientai/Llama-3-8B-Instruct-Gradient-1048k,meta-llama/Meta-Llama-3-8B-Instruct,finetune,512560
1,,GSAI-ML/LLaDA-8B-Instruct,meta-llama/Meta-Llama-3-8B,finetune,2595995
1,,h2oai/h2ogpt-oasst1-512-12b,EleutherAI/pythia-12b,finetune,125798
0,,Haiiru/DialoGPT-small-jake,/,/,310
0,,han1997/mamba-2.8b-ultrachat-hf,/,/,799
0,,HandH1998/QQQ-Llama-3-8b,/,/,19150
1,,HanNayeoniee/my_awesome_eli5_clm-model_ep10,distilbert/distilgpt2,finetune,485
1,1,haoranxu/ALMA-13B-R,haoranxu/ALMA-13B-Pretrain,finetune,230509
1,,heegyu/polyglot-ko-1.3b-chat,EleutherAI/polyglot-ko-1.3b,finetune,70387
1,,heegyu/polyglot-ko-5.8b-chat,EleutherAI/polyglot-ko-5.8b,finetune,48457
0,,heegyu/WizardVicuna-pythia-1.4b-deduped,/,/,285
0,,HelpingAI/HelpingAI2.5-10B,/,/,92997
1,,him1411/EDGAR-flan-t5-base,google/flan-t5-base,finetune,468
1,,hugging-quants/Meta-Llama-3.1-70B-Instruct-AWQ-INT4,meta-llama/Meta-Llama-3.1-70B-Instruct,quantize,3595437
1,,hugging-quants/Meta-Llama-3.1-8B-Instruct-GPTQ-INT4,meta-llama/Meta-Llama-3.1-8B-Instruct,quantize,1407404
1,,huggingtweets/0xn34uxxxw4v3xx-miyarepostbot-plsnobullywaaa,openai-community/gpt2,finetune,352
1,,huggingtweets/926stories-superachnural,openai-community/gpt2,finetune,717
1,,huggingtweets/atomicthumbs,openai-community/gpt2,finetune,800
1,,huggingtweets/biocrimed-bladeecity-w3bcam,openai-community/gpt2,finetune,739
1,,huggingtweets/cookie__sophie,openai-community/gpt2,finetune,610
1,,huggingtweets/cyberbully66,openai-community/gpt2,finetune,941
1,,huggingtweets/everythingab0ng,openai-community/gpt2,finetune,526
1,,huggingtweets/lopezmirasf,openai-community/gpt2,finetune,424
1,,huggingtweets/pontifex,openai-community/gpt2,finetune,810
1,,huggingtweets/randyrrquaid,openai-community/gpt2,finetune,424
1,,huggingtweets/theeye_eee,openai-community/gpt2,finetune,526
0,,Hypersniper/The_OverThinker_Phi_1_5,/,/,316
0,,hywu/Camelidae-8x34B,/,/,41403
1,,iandennismiller/LLama-2-MedText-13b-GGUF,LLama-2-13b,quantize,3512
1,,iarfmoose/t5-base-question-generator,google-t5/t5-base,finetune,2282813
1,,ignos/Mistral-T5-7B-v1,Toten5/Marcoroni-neural-chat-7B-v2,finetune,39947
0,,indonlp/cendol-mt5-base-inst,/,/,3571
0,,Intel/gpt-j-6B-int8-static-inc,/,/,788
1,,internlm/internlm2_5-20b-chat-gguf,internlm/internlm2_5-20b-chat,quantize,58660
1,,ISTA-DASLab/Llama-2-7b-AQLM-PV-1Bit-1x16-hf,meta-llama/Llama-2-7b,quantize,752
1,,ISTA-DASLab/Meta-Llama-3-8B-Instruct-AQLM-2Bit-1x16,meta-llama/Meta-Llama-3-8B-Instruct,quantize,14441
1,,JetBrains-Research/cmg-codereviewer-without-history,microsoft/codereviewer,finetune,1337
0,,JosephusCheung/Guanaco,/,/,62328
1,1,juancopi81/gpt2-finetuned-yannic-test,openai-community/gpt2,finetune,513
1,,karan842/IPC-gemma,google/gemma-2b-it,finetune,538
0,,kepung/llama3-vllm,/,/,109
0,,KETI-AIR/ke-t5-small,/,/,70707
1,,kfkas/Llama-2-ko-7b-Chat,beomi/llama-2-ko-7b,finetune,124361
1,1,KISTI-KONI/KONI-Llama3.1-8B-Instruct-20241024,KISTI-KONI/KONI-Llama3.1-8B-Merged-20240830,finetune,218675
1,,Kooten/Noromaid-13B-0.4-DPO-8bpw-exl2,NeverSleep/Noromaid-13B-0.4-DPO,quantize,147
0,,kuanwei/DeepSeek-R1-Medical-COT,/,/,168
0,,Kurkur99/sealiontune,/,/,214
1,,kyujinpy/Sakura-SOLRCA-Instruct-DPO,kyujinpy/Sakura-SOLAR-Instruct,finetune,51063
0,,LarkAI/bart_large_nl2sql,/,/,1840
0,,laurabernardy/LuxGPT-basedEN,/,/,566
1,1,lemon-mint/gemma-ko-7b-it-v0.40,google/gemma-7b-it,finetune,22643
1,,LeoLM/leo-hessianai-7b-chat,LeoLM/leo-hessianai-7b,finetune,409488
1,,leon6523/t5-small-finetuned-opinosis,google-t5/t5-small,finetune,347
1,,LiChenYi/llama-2-13b-combined-1,meta-llama/Llama-2-13b-hf,finetune,219
1,,Likhith003/dpo-pairrm-lora-adapter,meta-llama/Llama-3.2-1B-Instruct,finetune,417
0,,liuhaotian/llava-pretrain-vicuna-7b-v1.3,/,/,2282
1,,liyin/nol2pro,google-t5/t5-small,finetune,363
1,1,lizhuang144/flan-t5-base-VG-factual-sg,google/flan-t5-base,finetune,570439
1,,llmware/bling-red-pajamas-3b-0.1,togethercomputer/RedPajama-INCITE-Base-3B-v1,finetune,996
0,,lmms-lab/llava-onevision-qwen2-72b-ov-sft,/,/,89229
1,,lomahony/eleuther-pythia12b-hh-sft0,EleutherAI/pythia-12b,finetune,326
0,,LoneStriker/airoboros-m-7b-3.1.2-8.0bpw-h6-exl2,/,/,109
0,,LoneStriker/DaringLotus-10.7B-6.0bpw-h6-exl2,/,/,213
1,,LoneStriker/FuseChat-7B-TA-8.0bpw-h8-exl2,FuseAI/FuseChat-7B-TA,quantize,123
1,,LoneStriker/Meta-Llama-3-70B-Instruct-4.65bpw-h6-exl2,meta-llama/Llama-3.3-70B-Instruct,finetune,212
1,,LoneStriker/SOLAR-10.7B-Instruct-v1.0-6.0bpw-h6-exl2-2,upstage/SOLAR-10.7B-v1.0,finetune,171
0,,LoneStriker/Solstice-11B-v1-3.0bpw-h6-exl2,/,/,108
1,,LoneStriker/WizardMath-7B-V1.1-5.0bpw-h6-exl2,WizardLMTeam/WizardMath-7B-V1.1,quantize,140
0,,LoneStriker/Yi-6B-200K-5.0bpw-h6-exl2,/,/,186
1,,LordDanielDE/DialoGPT-medium-Hina,microsoft/DialoGPT-medium,finetune,562
1,,LTC-AI-Labs/L2-7B-Guanaco-Vicuna,meta-llama/Llama-2-7b,finetune,32133
0,,LumiOpen/Poro-34B,/,/,188008
1,,luodian/OTTER-MPT1B-RPJama-Init,openflamingo/OpenFlamingo-3B-vitl-mpt1b-langinstruct,finetune,10954
1,,maddes8cht/acrastt-Puma-3B-gguf,acrastt/Puma-3B,quantize,3737
1,,MahdiSUST/bn_sum_mt5_base,MahdiSUST/bn_sum,finetune,135
1,,malteos/bloom-6b4-clp-german-oasst-v0.1,malteos/bloom-6b4-clp-german,finetune,3311
0,,manu/llama-wikitext,/,/,218
0,,MarinHinawa/DialoGPT-medium-Ene,/,/,3654
0,,MarsupialAI/KitchenSink_103b,/,/,306
1,,mav23/chat-GPT2-GGUF,openai-community/gpt2,quantize,10625
1,,mav23/Qwen2-Boundless-GGUF,ystemsrx/Qwen2-Boundless,quantize,2637
1,1,MaziyarPanahi/finetuned-mistral-7b-Mistral-7B-Instruct-v0.2-slerp,mistralai/Mistral-7B-Instruct-v0.2,merge,742
0,,mazzaqq/SFT-base_merged_fp16,/,/,109
0,,meta-llama/Llama-2-70b-chat-hf,/,/,4582862
0,,meta-llama/Llama-2-7b-chat-hf,/,/,28536555
0,,meta-llama/Llama-3.1-8B,/,/,18056304
0,,meta-llama/Llama-3.2-1B,/,/,46271847
0,,meta-llama/Llama-3.2-3B,/,/,7892618
1,,meta-llama/Llama-Guard-3-1B,meta-llama/Llama-3.2-1B,finetune,1046018
0,,mhenrichsen/gemma-7b-it,/,/,218
0,,microsoft/Phi-3.5-MoE-instruct,/,/,1397436
0,,mii-llm/maestrale-chat-v0.3-beta,/,/,41713
0,,minlik/chinese-alpaca-plus-7b-merged,/,/,33192
0,,minsiam/DialoGPT-small-harrypotterbot,/,/,427
0,,MisguidedKerbal/DialoGPT-medium-kerbal,/,/,313
1,1,ml6team/keyphrase-generation-t5-small-inspec,google-t5/t5-small,finetune,11658
1,1,mlabonne/Daredevil-8B-abliterated,mlabonne/Daredevil-8B,finetune,178051
1,1,mlabonne/NeuralDaredevil-8B-abliterated,mlabonne/Daredevil-8B-abliterated,finetune,318952
1,,mlx-community/Meta-Llama-3.1-70B-bf16,meta-llama/Meta-Llama-3.1-70B,quantize,459
0,,mobiuslabsgmbh/Qwen3-32B_gemlite-ao_a16w4_gs_128_pack_32bit,/,/,169
1,1,MohamedMotaz/Examination-llama-8b-4bit,meta-llama/Meta-Llama-3-8B,quantize,353
0,,monuminu/indo-instruct-llama2-13b,/,/,480
1,,NasimB/all-base-rarity-neg-log-rarity,openai-community/gpt2,finetune,171
1,,NasimB/cl-rairty-138k,openai-community/gpt2,finetune,313
1,,NasimB/gpt2-cl-length-sampling-3,openai-community/gpt2,finetune,180
1,,NasimB/gpt2-concat-all-mod-datasets1-rarity-all-iorder-end-c2p6k,openai-community/gpt2,finetune,127
1,,neopolita/qwen2.5-7b-instruct-grpo-gsm8k-250,unsloth/qwen2.5-7b-instruct-unsloth-bnb-4bit,finetune,220
1,,NeoZ123/LongReward-llama3.1-8b-SFT,meta-llama/Llama-3.1-8B,finetune,124
1,,Nerdward/pegasus-tf-finetuned-model,human-centered-summarization/financial-summarization-pegasus,finetune,206
0,,netcat420/MFANNv0.6,/,/,1998
1,,nluai/qgv_v2_test1,google/mt5-base,finetune,112
1,1,NousResearch/Hermes-3-Llama-3.2-3B,meta-llama/Llama-3.2-3B,finetune,933263
1,,NousResearch/Meta-Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct,finetune,2023073
1,1,NousResearch/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B,finetune,1652624
0,,NTIS/hf_gemma3_4b_155555-checkpoint-8000,/,/,239
0,,nytgai1150/act_expend8,/,/,107
1,,peiyi9979/math-shepherd-mistral-7b-rl,peiyi9979/mistral-7b-sft,quantize,8090
0,,pints-ai/1.5-Pints-2K-v0.1,/,/,2363
0,,pisisthanon/DeepSeek-R1-UI_Reasoning_Datas,/,/,110
1,,PracticeLLM/Custom-KoLLM-13B-v8,beomi/llama-2-koen-13b,finetune,45934
1,1,Q-bert/Optimus-7B,mistralai/Mistral-7B-v0.1,finetune,36971
0,,QuantFactory/ArliAI-Llama-3-8B-Cumulus-v0.3.2-GGUF,/,/,3836
1,1,QuantFactory/Meta-Llama-3-8B-Instruct-GGUF,meta-llama/Meta-Llama-3-8B-Instruct,quantize,765536
1,,QuantFactory/Qwen2-Boundless-GGUF,ystemsrx/Qwen2-Boundless,quantize,11046
0,,Qwen/Qwen3-30B-A3B-MLX-4bit,/,/,3085
0,,rabosh/cyberwolf,/,/,435
0,,realPCH/kosolra-kullm,/,/,18806
1,,RedHatAI/DeepSeek-Coder-V2-Lite-Instruct-FP8,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,quantize,253139
1,,RedHatAI/Meta-Llama-3-70B-Instruct-FP8,meta-llama/Meta-Llama-3-70B-Instruct,quantize,444479
1,1,RedHatAI/Phi-3-mini-128k-instruct-quantized.w8a8,microsoft/Phi-3-mini-128k-instruct,quantize,2017
1,1,RedHatAI/starcoder2-15b-quantized.w8a16,bigcode/starcoder2-15b,quantize,1576
0,,rendoo/05_rendoo_luman0001_16,/,/,106
1,1,RichardErkhov/distributed_-_gpt2-250m-convergence-test-v2-4bits,distributed/gpt2-250m-convergence-test-v2,quantize,218
1,1,RichardErkhov/lgodwangl_-_new_01m-4bits,lgodwangl/new_01m,quantize,178
1,1,RichardErkhov/NeuralNovel_-_Panda-7B-v0.1-8bits,mistralai/Mistral-7B-Instruct-v0.2,finetune,25
1,1,RichardErkhov/Qwen_-_Qwen1.5-4B-8bits,Qwen/Qwen1.5-4B,quantize,18
1,1,RichardErkhov/rinna_-_llama-3-youko-8b-4bits,rinna/llama-3-youko-8b,quantize,228
1,1,RichardErkhov/salti_-_xlm-roberta-large-arabic_qa-8bits,salti/xlm-roberta-large-arabic_qa,quantize,16
1,1,RichardErkhov/TinyLlama_-_TinyLlama-1.1B-step-50K-105b-4bits,TinyLlama/TinyLlama-1.1B-step-50K-105b,quantize,19
0,,rockstarcruzin/Phi-3-mini-4k-instruct-v2-merged-16bit,/,/,151
0,,RohanHBTU/Final_year_model,/,/,11
1,,roleplaiapp/DeepSeek-R1-Distill-Qwen-14B-Japanese-gguf-Q3_K_L-GGUF,DeepSeek-R1-Distill-Qwen-14B-Japanese-gguf,quantize,64
0,,roleplaiapp/deepseek-r1-qwen-2.5-32B-ablated-Q5_K_M-GGUF,/,/,140
0,,roleplaiapp/DS-Distilled-Hermes-Llama-3.1_TIES-i1-Q2_K-GGUF,/,/,34
0,,roleplaiapp/R1-Qwen2.5-32B-Instruct-1k-Q3_K_L-GGUF,/,/,210
1,,rymaju/Redex-t5-small-finetuned-en-to-regex,google-t5/t5-small,finetune,319
1,,ryuno25/t5-base-finetuned-eli-5,google-t5/t5-base,finetune,541
0,,ryusangwon/ko_en_dpo_0.9_5e-6_ko_en_nllb-200-distilled-1.3B,/,/,110
0,,Saibo-creator/llama-1B,/,/,24842
1,,Sakalti/light-3B,Qwen/Qwen2.5-3B,merge,455
1,,Salesforce/Llama-xLAM-2-8b-fc-r-gguf,Salesforce/Llama-xLAM-2-8b-fc-r,quantize,19544
0,,sbintuitions/sarashina1-65b,/,/,14575
1,,schnapper79/mistralai_large_instruct_2411-exl2-8.0bpw,mistralai/Mistral-Large-Instruct-2411,quantize,142
0,,Severian/ANIMA-Phi-Neptune-Mistral-7B,/,/,62940
1,,shadowml/TurdusBeagle-7B-gen1,mlabonne/NeuralBeagle14-7B,merge,112
1,,sjunique/distilgpt2-finetuned-quran,distilbert/distilgpt2,finetune,490
1,,sohamchougule/t5-small-finetuned-samsum-test,google-t5/t5-small,finetune,116
0,,solidrust/TwinLlama-3.1-8B-trl-AWQ,/,/,109
0,,Splend1dchan/byt5small-squad-5000,/,/,962
0,,stabilityai/ar-stablelm-2-base,/,/,1112
1,1,stabilityai/stable-code-instruct-3b,stabilityai/stable-code-3b,finetune,62873
1,,succinctly/text2image-prompt-generator,openai-community/gpt2,finetune,1605297
0,,Sundogs/image_to_text,/,/,369
1,,taobao-mnn/InternVL2_5-1B-MNN,OpenGVLab/InternVL2_5-1B,finetune,6623
1,1,taobao-mnn/Qwen2.5-0.5B-Instruct-MNN,Qwen/Qwen2.5-0.5B-Instruct,finetune,119311
1,,TechxGenus/DeepSeek-Coder-V2-Lite-Base-AWQ,deepseek-ai/DeepSeek-Coder-V2-Lite-Base,finetune,306392
1,,TechxGenus/starcoder2-3b-AWQ,bigcode/starcoder2-3b,quantize,6872
1,1,TeeZee/2xbagel-34b-v0.2-bpw2.9-h6-exl2,jondurbin/bagel-dpo-34b-v0.2,merge,115
1,,thainq107/flan-t5-small-twitter-sentiment-analysis-zero-shot,google/flan-t5-small,finetune,398
1,,TheBloke/openchat_v2_openorca_preview-GPTQ,openchat/openchat_v2_openorca_preview,quantize,50005
1,,thebogko/mt5-finetuned-bulgarian-grammar-mistakes,google/mt5-base,finetune,402
1,,ThomasNLG/t5-qa_squad2neg-en,google-t5/t5-small,finetune,152301
1,,tiiuae/falcon-180B-chat,tiiuae/falcon-180B,finetune,225093
1,,TitanML/Qwen-7B-Chat-Int8,Qwen/Qwen-7B-Chat,quantize,118
1,1,Undi95/ReMM-SLERP-L2-13B,TheBloke/Llama-2-13B-fp16,merge,53974
1,,unsloth/llama-3-8b-Instruct,meta-llama/Meta-Llama-3-8B,finetune,510770
1,,unsloth/Mistral-Nemo-Instruct-2407-bnb-4bit,unsloth/Mistral-Nemo-Instruct-2407,quantize,1843714
0,,user074/sft_qwen1b_composer_2e_5,/,/,109
0,,ussipan/SipanGPT-0.2-Llama-3.2-1B-GGUF,/,/,1968
1,,uukuguy/speechless-tora-code-7b-v1.0,llm_agents/tora-code-7b-v1.0,finetune,49328
1,,vikyi/my_awesome_billsum_model,google-t5/t5-small,finetune,110
1,,vocabtrimmer/mt5-small-esquad-qg-trimmed-es,lmqg/mt5-small-esquad-qg,finetune,221
1,,vocabtrimmer/mt5-small-esquad-qg-trimmed-es-5000,lmqg/mt5-small-esquad-qg,quantize,154
1,,vocabtrimmer/mt5-small-ruquad-qg-trimmed-ru,lmqg/mt5-small-ruquad-qg,finetune,227
1,,vsevolodl/prometheus-8x7b-v2.0-GGUF,prometheus-eval/prometheus-8x7b-v2.0,quantize,3085
1,1,watashiha/Watashiha-Llama-2-13B-Ogiri-sft-vlm,watashiha/Watashiha-Llama-2-13B-Ogiri-sft,finetune,210
1,,wenjalan/my_awesome_eli5_clm-model,distilbert/distilgpt2,finetune,448
1,1,Weyaxi/OpenHermes-2.5-Nebula-v2-7B,Weyaxi/Nebula-v2-7B-adapter,merge,23890
1,1,winninghealth/WiNGPT2-Llama-3-8B-Base,meta-llama/Meta-Llama-3-8B,finetune,147839
1,1,winninghealth/WiNGPT2-Llama-3-8B-Chat,meta-llama/Meta-Llama-3-8B,finetune,280979
1,,wsagi/Llama3-8B-Chinese-Chat-AWQ,shenzhi-wang/Llama3-8B-Chinese-Chat,quantize,295
1,,YanaS/llama-2-7b-langchain-chat-GGUF,NousResearch/Llama-2-7b-chat-hf,quantize,14752
0,,YashJain/GitAI-gemma-2b-v1,/,/,311
0,,yejingfu/Meta-Llama-3-8B-Instruct,/,/,112
0,,yseop/FNP_T5_D2T_complete,/,/,1672
0,,ys-zong/llava-v1.5-13b-Clean,/,/,258
0,,yuhuili/EAGLE-Vicuna-33B-v1.3,/,/,2335
0,,Zoyd/TIGER-Lab_MAmmoTH2-7B-Plus-3_5bpw_exl2,/,/,109
1,1,zubairahmad12/Llama3.1-8B-Model-Verilog_Comb_and_Seq_Dataset,unsloth/meta-llama-3.1-8b-unsloth-bnb-4bit,finetune,119
,,,,,
,,,,,
,,,,,
